head := query_30Centriod
231-th query  distance:=18736.6
232-th query  distance:=62300.6
233-th query  distance:=49892.4
234-th query  distance:=40772.3
235-th query  distance:=49538.5
236-th query  distance:=44270.8
237-th query  distance:=20527.9
238-th query  distance:=43925.3
239-th query  distance:=18885.9
240-th query  distance:=33305.7
241-th query  distance:=24474.7
242-th query  distance:=12015.1
243-th query  distance:=54176.9
244-th query  distance:=22853.5
245-th query  distance:=29542.2
246-th query  distance:=54975.8
247-th query  distance:=44600.5
248-th query  distance:=45744.9
249-th query  distance:=3218.97
250-th query  distance:=60349
251-th query  distance:=44617.9
252-th query  distance:=32261.7
253-th query  distance:=85378.7
254-th query  distance:=46089.2
255-th query  distance:=61045.2
256-th query  distance:=19192.5
257-th query  distance:=39150
258-th query  distance:=41878
259-th query  distance:=45149.3
260-th query  distance:=43808
261-th query  distance:=51623
262-th query  distance:=39135.3
263-th query  distance:=19732.3
264-th query  distance:=67768.8
265-th query  distance:=17194.3
266-th query  distance:=65948.6
267-th query  distance:=20400
268-th query  distance:=26058.7
269-th query  distance:=13660.1
270-th query  distance:=11223.3
271-th query  distance:=48683.7
272-th query  distance:=48141
273-th query  distance:=53099.4
274-th query  distance:=32254
275-th query  distance:=43168.4
276-th query  distance:=36082.6
277-th query  distance:=33902.4
278-th query  distance:=19031.9
279-th query  distance:=44073.7
280-th query  distance:=55203.2
281-th query  distance:=49516.2
282-th query  distance:=17759.4
283-th query  distance:=35552.2
284-th query  distance:=55515.9
285-th query  distance:=37371.3
286-th query  distance:=53327
287-th query  distance:=74698.8
288-th query  distance:=48391.9
289-th query  distance:=40541.1
290-th query  distance:=62721
291-th query  distance:=53880.6
292-th query  distance:=41050.5
293-th query  distance:=3136.21
294-th query  distance:=67121.4
295-th query  distance:=44502.6
296-th query  distance:=30930.5
297-th query  distance:=55082.9
298-th query  distance:=23376
299-th query  distance:=26436.1
300-th query  distance:=46235
301-th query  distance:=43892.9
302-th query  distance:=58615
303-th query  distance:=52930.1
304-th query  distance:=44090.9
305-th query  distance:=49698.3
306-th query  distance:=59317.8
307-th query  distance:=44759.3
308-th query  distance:=48937.8
309-th query  distance:=63782.1
310-th query  distance:=32888.6
311-th query  distance:=49203.3
312-th query  distance:=52557.7
313-th query  distance:=25246.9
314-th query  distance:=46143.2
315-th query  distance:=51315.6
316-th query  distance:=59514.1
317-th query  distance:=30203.7
318-th query  distance:=68794.6
319-th query  distance:=51603.2
320-th query  distance:=51891.4
321-th query  distance:=50723.3
322-th query  distance:=59236
323-th query  distance:=57423.8
324-th query  distance:=42121.9
325-th query  distance:=65983.6
326-th query  distance:=32675
327-th query  distance:=31244
328-th query  distance:=31564.6
329-th query  distance:=32671.4
330-th query  distance:=19346.5
331-th query  distance:=27733.2
332-th query  distance:=32943.1
333-th query  distance:=75050.1
334-th query  distance:=87001.3
335-th query  distance:=48835.3
336-th query  distance:=35050.8
